z     eps_p     eps_z
12.519436 1.000360 1.000066
12.535183 1.000371 1.000068
12.550931 1.000381 1.000070
12.566679 1.000392 1.000072
12.582426 1.000403 1.000074
12.598174 1.000415 1.000077
12.613922 1.000426 1.000079
12.629670 1.000438 1.000081
12.645417 1.000451 1.000083
12.661165 1.000464 1.000086
12.676913 1.000477 1.000088
12.692661 1.000491 1.000091
12.708408 1.000506 1.000093
12.724156 1.000522 1.000096
12.739904 1.000538 1.000099
12.755651 1.000555 1.000102
12.771399 1.000573 1.000106
12.787147 1.000590 1.000109
12.802895 1.000609 1.000112
12.818642 1.000627 1.000116
12.834390 1.000646 1.000119
12.850138 1.000665 1.000123
12.865885 1.000684 1.000126
12.881633 1.000704 1.000130
12.897381 1.000724 1.000134
12.913129 1.000744 1.000137
12.928876 1.000765 1.000141
12.944624 1.000787 1.000145
12.960372 1.000809 1.000149
12.976119 1.000832 1.000154
12.991867 1.000857 1.000158
13.007615 1.000882 1.000163
13.023363 1.000908 1.000167
13.039110 1.000934 1.000172
13.054858 1.000962 1.000178
13.070606 1.000991 1.000183
13.086353 1.001020 1.000188
13.102101 1.001050 1.000194
13.117849 1.001080 1.000199
13.133597 1.001111 1.000205
13.149344 1.001143 1.000211
13.165092 1.001175 1.000217
13.180840 1.001208 1.000223
13.196587 1.001242 1.000229
13.212335 1.001276 1.000236
13.228083 1.001312 1.000242
13.243831 1.001349 1.000249
13.259578 1.001387 1.000256
13.275326 1.001427 1.000263
13.291074 1.001468 1.000271
13.306822 1.001511 1.000279
13.322569 1.001555 1.000287
13.338317 1.001601 1.000295
13.354065 1.001648 1.000304
13.369812 1.001697 1.000313
13.385560 1.001747 1.000322
13.401308 1.001798 1.000332
13.417056 1.001851 1.000342
13.432803 1.001905 1.000352
13.448551 1.001961 1.000362
13.464299 1.002018 1.000372
13.480046 1.002077 1.000383
13.495794 1.002137 1.000394
13.511542 1.002198 1.000406
13.527290 1.002262 1.000417
13.543037 1.002328 1.000430
13.558785 1.002396 1.000442
13.574533 1.002466 1.000455
13.590280 1.002538 1.000468
13.606028 1.002613 1.000482
13.621776 1.002691 1.000496
13.637524 1.002770 1.000511
13.653271 1.002852 1.000526
13.669019 1.002937 1.000542
13.684767 1.003024 1.000558
13.700514 1.003113 1.000574
13.716262 1.003204 1.000591
13.732010 1.003297 1.000608
13.747758 1.003393 1.000626
13.763505 1.003491 1.000644
13.779253 1.003592 1.000663
13.795001 1.003695 1.000682
13.810748 1.003801 1.000701
13.826496 1.003909 1.000721
13.842244 1.004021 1.000742
13.857992 1.004137 1.000763
13.873739 1.004255 1.000785
13.889487 1.004378 1.000808
13.905235 1.004504 1.000831
13.920983 1.004633 1.000855
13.936730 1.004767 1.000880
13.952478 1.004904 1.000905
13.968226 1.005046 1.000931
13.983973 1.005191 1.000958
13.999721 1.005340 1.000985
14.015469 1.005493 1.001014
14.031217 1.005650 1.001043
14.046964 1.005812 1.001072
14.062712 1.005977 1.001103
14.078460 1.006147 1.001134
14.094207 1.006322 1.001167
14.109955 1.006502 1.001200
14.125703 1.006688 1.001234
14.141451 1.006878 1.001269
14.157198 1.007075 1.001305
14.172946 1.007278 1.001343
14.188694 1.007487 1.001382
14.204441 1.007703 1.001421
14.220189 1.007926 1.001462
14.235937 1.008155 1.001505
14.251685 1.008391 1.001548
14.267432 1.008634 1.001593
14.283180 1.008884 1.001639
14.298928 1.009142 1.001687
14.314675 1.009407 1.001736
14.330423 1.009679 1.001786
14.346171 1.009958 1.001837
14.361919 1.010246 1.001891
14.377666 1.010542 1.001945
14.393414 1.010846 1.002001
14.409162 1.011159 1.002059
14.424909 1.011481 1.002118
14.440657 1.011812 1.002180
14.456405 1.012154 1.002243
14.472153 1.012505 1.002307
14.487900 1.012867 1.002374
14.503648 1.013239 1.002443
14.519396 1.013622 1.002513
14.535143 1.014016 1.002586
14.550891 1.014421 1.002661
14.566639 1.014838 1.002738
14.582387 1.015266 1.002817
14.598134 1.015706 1.002898
